pr_path,pr_number,created,total_comments,pr_lines_changed
/naaoli/step/pull/6,6,2020-06-08T16:53:14Z,20,161
/lattai/step/pull/1,1,2020-05-26T16:22:23Z,3,90
/lattai/step/pull/2,2,2020-05-26T20:02:15Z,5,122
/lattai/step/pull/3,3,2020-05-27T16:10:11Z,2,83
/lattai/step/pull/4,4,2020-05-27T20:25:08Z,6,98
/lattai/step/pull/5,5,2020-05-28T14:33:21Z,22,105
/lattai/step/pull/6,6,2020-05-29T13:48:59Z,1,94
/lattai/step/pull/7,7,2020-05-29T15:01:34Z,8,64
/lattai/step/pull/8,8,2020-05-29T22:19:08Z,1,13
/lattai/step/pull/9,9,2020-06-01T14:23:03Z,0,15
/lattai/step/pull/10,10,2020-06-02T14:08:46Z,1,47
/lattai/step/pull/11,11,2020-06-02T16:19:25Z,4,126
/lattai/step/pull/12,12,2020-06-02T18:25:11Z,3,64
/lattai/step/pull/13,13,2020-06-02T19:17:38Z,1,29
/lattai/step/pull/14,14,2020-06-02T20:14:24Z,4,42
/lattai/step/pull/15,15,2020-06-03T14:45:09Z,3,72
/lattai/step/pull/16,16,2020-06-03T20:31:41Z,15,214
/lattai/step/pull/17,17,2020-06-08T13:28:16Z,21,146
/lattai/step/pull/18,18,2020-06-11T14:20:36Z,6,90
/srosset22/my-portfolio/pull/1,1,2020-05-29T14:59:50Z,3,160
/srosset22/my-portfolio/pull/2,2,2020-06-02T15:48:27Z,7,465
/srosset22/my-portfolio/pull/3,3,2020-06-05T18:46:12Z,2,488
/srosset22/my-portfolio/pull/4,4,2020-06-09T14:26:24Z,2,140
/srosset22/my-portfolio/pull/5,5,2020-06-09T19:47:35Z,0,140
/srosset22/my-portfolio/pull/6,6,2020-06-10T16:13:29Z,0,69
/srosset22/my-portfolio/pull/7,7,2020-06-11T15:47:18Z,0,156
/alikew24/step/pull/1,1,2020-05-26T15:43:36Z,1,55
/alikew24/step/pull/2,2,2020-05-26T21:30:26Z,17,165
/alikew24/step/pull/3,3,2020-05-27T16:10:12Z,13,133
/alikew24/step/pull/4,4,2020-05-27T21:19:22Z,17,86
/alikew24/step/pull/5,5,2020-05-29T20:56:55Z,1,220
/alikew24/step/pull/6,6,2020-05-29T21:21:53Z,1,25
/alikew24/step/pull/7,7,2020-06-01T15:12:40Z,1,2
/alikew24/step/pull/8,8,2020-06-01T17:22:12Z,9,13
/alikew24/step/pull/9,9,2020-06-01T18:59:57Z,6,46
/alikew24/step/pull/10,10,2020-06-02T16:39:56Z,2,68
/alikew24/step/pull/11,11,2020-06-02T21:11:02Z,4,29
/alikew24/step/pull/12,12,2020-06-03T14:41:20Z,4,20
/alikew24/step/pull/13,13,2020-06-03T15:50:25Z,1,15
/alikew24/step/pull/14,14,2020-06-04T16:14:16Z,16,119
/alikew24/step/pull/15,15,2020-06-05T17:53:22Z,4,92
/alikew24/step/pull/16,16,2020-06-05T19:54:26Z,13,39
/alikew24/step/pull/17,17,2020-06-08T18:53:03Z,16,240
/alikew24/step/pull/18,18,2020-06-09T20:59:48Z,4,151
/andrewseamanco/STEP_tech_trainings/pull/1,1,2020-05-26T17:57:23Z,0,6
/andrewseamanco/STEP_tech_trainings/pull/2,2,2020-05-27T00:04:08Z,32,57
/andrewseamanco/STEP_tech_trainings/pull/3,3,2020-05-27T21:48:08Z,15,129
/andrewseamanco/STEP_tech_trainings/pull/4,4,2020-05-27T22:28:16Z,13,157
/andrewseamanco/STEP_tech_trainings/pull/5,5,2020-05-29T15:32:47Z,38,507
